"Time (ps)"	"Channel 1 - Count rate (counts/s)"	"Channel 2 - Count rate (counts/s)"
20240000000000	656350	850700
20260000000000	672200	888650
20280000000000	668000	890100
20300000000000	659850	873150
20320000000000	673800	904700
20340000000000	692250	890700
20360000000000	653750	874650
20380000000000	662100	880650
20400000000000	652950	881350
20420000000000	656400	866350
20440000000000	659200	867750
20460000000000	665850	882700
20480000000000	666050	890850
20500000000000	676350	883350
20520000000000	661150	878600
20540000000000	655200	871300
20560000000000	666600	879150
20580000000000	665200	866950
20600000000000	653050	873750
20620000000000	647500	865700
20640000000000	649450	856550
20660000000000	667350	871650
20680000000000	647500	868750
20700000000000	643550	853650
20720000000000	668550	866250
20740000000000	665500	881600
20760000000000	689200	899900
20780000000000	668050	886150
20800000000000	688800	896850
20820000000000	667000	895700
20840000000000	684200	891900
20860000000000	668300	887250
20880000000000	668950	884200
20900000000000	667200	877500
20920000000000	676650	899450
20940000000000	664850	878300
20960000000000	674500	889950
20980000000000	668200	883000
21000000000000	671650	875800
21020000000000	665550	876000
21040000000000	659150	893400
21060000000000	668100	868550
21080000000000	662350	875600
21100000000000	660050	884000
21120000000000	652400	882900
21140000000000	668200	870700
21160000000000	660950	879800
21180000000000	665550	894250
21200000000000	672850	892350
21220000000000	669700	896450
21240000000000	665750	886200
21260000000000	675450	883100
21280000000000	650950	874700
21300000000000	673450	883250
21320000000000	663450	865350
21340000000000	665100	884550
21360000000000	654200	860450
21380000000000	650800	845500
21400000000000	660300	875150
21420000000000	644100	858800
21440000000000	651000	865600
21460000000000	664900	879450
21480000000000	665850	875850
21500000000000	657200	863100
21520000000000	668000	867050
21540000000000	660800	876850
21560000000000	667850	880100
21580000000000	676550	875750
21600000000000	675200	896900
21620000000000	668250	889650
21640000000000	653050	879200
21660000000000	653400	866450
21680000000000	658000	868700
21700000000000	686700	893700
21720000000000	675550	893150
21740000000000	679300	878000
21760000000000	672450	895500
21780000000000	680950	884800
21800000000000	677400	908050
21820000000000	675850	883400
21840000000000	672650	899800
21860000000000	667000	891750
21880000000000	674850	876600
21900000000000	668750	879150
21920000000000	663050	883200
21940000000000	684750	900250
21960000000000	672150	882650
21980000000000	670400	883450
22000000000000	685550	924500
22020000000000	681300	885750
22040000000000	678850	896750
22060000000000	671200	882000
22080000000000	667200	884850
22100000000000	669500	882150
22120000000000	676600	896150
22140000000000	681000	907850
22160000000000	666400	888250
22180000000000	671700	882100
22200000000000	668800	874900
22220000000000	656700	870750
22240000000000	663500	869050
22260000000000	673950	893200
22280000000000	682850	883000
22300000000000	668100	890300
22320000000000	676050	881750
22340000000000	677000	895900
22360000000000	673600	889600
22380000000000	674000	896750
22400000000000	671200	882750
22420000000000	664700	863800
22440000000000	660950	863650
22460000000000	675050	870150
22480000000000	664350	880500
22500000000000	680850	889900
22520000000000	654400	872700
22540000000000	671500	888300
22560000000000	686900	902150
22580000000000	671600	888900
22600000000000	651100	867300
22620000000000	689950	900850
22640000000000	690550	900250
22660000000000	671550	878600
22680000000000	680300	896800
22700000000000	679400	888600
22720000000000	671750	898800
22740000000000	678400	891100
22760000000000	672750	883550
22780000000000	677950	898050
22800000000000	676050	896400
22820000000000	673100	882400
22840000000000	662400	907050
22860000000000	669150	887750
22880000000000	656300	860850
22900000000000	651000	862550
22920000000000	655650	877900
22940000000000	668000	870150
22960000000000	657200	884400
22980000000000	662100	886250
23000000000000	662700	898750
23020000000000	677700	902950
23040000000000	678250	883150
23060000000000	671550	874850
23080000000000	666000	865900
23100000000000	653200	874350
23120000000000	671950	888150
23140000000000	656850	870250
23160000000000	660650	860300
23180000000000	668850	878750
23200000000000	665350	867750
23220000000000	671200	884300
23240000000000	672100	883600
23260000000000	671000	897800
23280000000000	664250	867450
23300000000000	677200	889150
23320000000000	658950	884450
23340000000000	674750	883350
23360000000000	651800	870050
23380000000000	659200	866400
23400000000000	656350	874350
23420000000000	654500	858900
23440000000000	651850	861500
23460000000000	654650	861050
23480000000000	676100	887550
23500000000000	665750	883350
23520000000000	682600	901000
23540000000000	667700	880900
